	GSM461182_untreat_single_featureCounts	GSM461178_untreat_paired_featureCounts	GSM461177_untreat_paired_featureCounts	GSM461176_untreat_single_featureCounts	GSM461181_treat_paired_featureCounts	GSM461180_treat_paired_featureCounts	GSM461179_treat_single_featureCounts
FBti0020174	0	0	0	0	0	0	0
FBti0020210	0.83333666887686	0	0	0	0	1.49420621455475	1.0488645097247
FBti0061338	0	0	0	0	0	0	0
FBgn0035690	462.501851226657	540.980680499316	549.113393253361	471.906759341806	551.741619962975	567.798361530803	440.523094084375
FBgn0266684	1.66667333775372	3.03921730617593	9.3333721232866	3.50673812674378	3.69469834796635	4.48261864366424	4.71989029376116
FBgn0260859	32.5001300861975	106.372605716158	94.8892832534137	100.6934804965	110.840950438991	85.1697542296205	62.9318705834822
FBti0061559	0	0	0	0	0	0	0
FBgn0035239	0	0	0	0	0	0	0
FBgn0005386	751.669675326927	765.882761156334	919.33715414373	936.299079840589	650.266909242078	679.863827622409	763.048930824722
FBgn0265898	0	0	0	0	0	0	0
FBgn0067864	885.003542347225	907.206365893515	964.448452739615	817.069983531301	1108.40950438991	1092.26474283952	801.332485429673
FBgn0037046	13.3333867020298	10.6372605716158	12.4444961643821	15.5298402755796	22.1681900877981	44.8261864366424	57.1631157799963
FBtr0309689_df_nrg	0	0	0	0	0	0	0
FBgn0036053	3239.17963192435	2625.883752536	2689.56673352709	2450.20802541483	2144.15660793647	2144.18591788606	2138.11030307381
FBgn0045759	0	0	0	3.50673812674378	1.23156611598878	0	2.09772901944941
FBgn0260393	0	3.03921730617593	0	0.500962589534826	1.23156611598878	0	1.57329676458705
FBgn0052445	5.00002001326116	9.11765191852779	7.77781010273883	9.51828920116169	8.62096281192149	8.96523728732847	7.86648382293527
FBgn0035246	35.833476761705	51.6666942049908	59.1113567808151	66.127061818597	46.7995124075738	73.2161045131825	59.7852770543081
FBgn0036498	2.50001000663058	0	1.55556202054777	1.50288776860448	1.23156611598878	0	5.24432254862352
FBti0061800	0	0	0	0	0	0	0
FBgn0035192	1.66667333775372	0	0	1.00192517906965	0	2.98841242910949	1.57329676458705
FBti0062483	2.50001000663058	3.03921730617593	1.55556202054777	2.50481294767413	0	0	0.524432254862352
FBti0063227	0	0	0	0	0	0	0
FBgn0015359	724.169565253991	741.569022706927	661.113858732801	648.746553447599	688.44545883773	696.300095982511	540.689654763084
FBgn0036652	5.00002001326116	9.11765191852779	6.22224808219107	8.01540143255721	9.85252892791027	8.96523728732847	4.71989029376116
FBgn0036486	1199.1714665138	1007.50053699732	1158.89370530809	1101.11577179755	1092.39914488205	1160.99822870904	1115.99183834708
FBgn0036466	0	1.51960865308797	1.55556202054777	3.00577553720895	0	0	2.62216127431176
FBgn0036117	224.167563927875	144.362822043357	138.445019828751	158.80514088254	128.082876062834	146.432209026365	206.626308415767
FBgn0262622	0	0	0	0.500962589534826	0	0	0.524432254862352
FBgn0036514	560.00224148525	519.706159356084	532.002211027336	642.735002373181	479.079219119637	494.582257017621	638.234054167482
